"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USC00475484","MILWAUKEE, WI US","1949-05-15","2.5","0.0","0.0","10.0","6.1"
"USC00475484","MILWAUKEE, WI US","1949-05-16","1.5","0.0","0.0","16.1","6.1"
"USC00475484","MILWAUKEE, WI US","1949-05-17","0.0","0.0","0.0","22.8","8.3"
"USC00475484","MILWAUKEE, WI US","1949-05-18","5.6","0.0","0.0","26.1","10.6"
"USC00475484","MILWAUKEE, WI US","1949-05-19","3.6","0.0","0.0","7.8","5.0"
"USC00475484","MILWAUKEE, WI US","1949-05-20","0.5","0.0","0.0","10.0","4.4"
"USC00475484","MILWAUKEE, WI US","1949-05-21","0.0","0.0","0.0","11.7","5.6"
"USC00475484","MILWAUKEE, WI US","1949-05-22","5.3","0.0","0.0","20.6","7.2"
"USC00475484","MILWAUKEE, WI US","1949-05-23","4.1","0.0","0.0","20.0","10.0"
"USC00475484","MILWAUKEE, WI US","1949-05-24","0.0","0.0","0.0","15.0","6.7"
"USC00475484","MILWAUKEE, WI US","1949-05-25","0.0","0.0","0.0","15.6","6.7"
"USC00475484","MILWAUKEE, WI US","1949-05-26","2.3","0.0","0.0","18.3","3.3"
"USC00475484","MILWAUKEE, WI US","1949-05-27","0.3","0.0","0.0","10.0","6.7"
"USC00475484","MILWAUKEE, WI US","1949-05-28","0.0","0.0","0.0","16.7","5.6"
"USC00475484","MILWAUKEE, WI US","1949-05-29","0.0","0.0","0.0","20.0","7.8"
"USC00475484","MILWAUKEE, WI US","1949-05-30","0.0","0.0","0.0","22.2","11.1"
"USC00475484","MILWAUKEE, WI US","1949-05-31","0.0","0.0","0.0","20.0","11.7"
"USC00475484","MILWAUKEE, WI US","1949-06-01","0.0","0.0","0.0","21.7","12.2"
"USC00475484","MILWAUKEE, WI US","1949-06-02","0.0","0.0","0.0","28.3","13.3"
"USC00475484","MILWAUKEE, WI US","1949-06-03","0.0","0.0","0.0","25.6","17.2"
"USC00475484","MILWAUKEE, WI US","1949-06-04","0.0","0.0","0.0","28.3","16.1"
"USC00475484","MILWAUKEE, WI US","1949-06-05","0.0","0.0","0.0","22.2","13.9"
"USC00475484","MILWAUKEE, WI US","1949-06-06","0.0","0.0","0.0","23.3","13.9"
"USC00475484","MILWAUKEE, WI US","1949-06-07","0.0","0.0","0.0","12.8","9.4"
"USC00475484","MILWAUKEE, WI US","1949-06-08","0.0","0.0","0.0","13.9","7.2"
"USC00475484","MILWAUKEE, WI US","1949-06-09","0.0","0.0","0.0","17.8","7.8"
"USC00475484","MILWAUKEE, WI US","1949-06-10","0.0","0.0","0.0","24.4","12.2"
"USC00475484","MILWAUKEE, WI US","1949-06-11","0.0","0.0","0.0","28.9","14.4"
"USC00475484","MILWAUKEE, WI US","1949-06-12","0.0","0.0","0.0","26.7","19.4"
"USC00475484","MILWAUKEE, WI US","1949-06-13","10.7","0.0","0.0","26.7","16.7"
"USC00475484","MILWAUKEE, WI US","1949-06-14","14.0","0.0","0.0","20.6","12.2"
"USC00475484","MILWAUKEE, WI US","1949-06-15","44.7","0.0","0.0","20.6","11.7"
"USC00475484","MILWAUKEE, WI US","1949-06-16","0.0","0.0","0.0","18.3","14.4"
"USC00475484","MILWAUKEE, WI US","1949-06-17","0.0","0.0","0.0","22.8","14.4"
"USC00475484","MILWAUKEE, WI US","1949-06-18","0.0","0.0","0.0","22.2","15.0"
"USC00475484","MILWAUKEE, WI US","1949-06-19","0.0","0.0","0.0","26.7","13.9"
"USC00475484","MILWAUKEE, WI US","1949-06-20","0.0","0.0","0.0","31.7","16.7"
"USC00475484","MILWAUKEE, WI US","1949-06-21","1.0","0.0","0.0","26.7","20.6"
"USC00475484","MILWAUKEE, WI US","1949-06-22","0.0","0.0","0.0","27.2","17.2"
"USC00475484","MILWAUKEE, WI US","1949-06-23","0.0","0.0","0.0","29.4","17.2"
"USC00475484","MILWAUKEE, WI US","1949-06-24","0.8","0.0","0.0","29.4","17.2"
"USC00475484","MILWAUKEE, WI US","1949-06-25","13.7","0.0","0.0","29.4","17.2"
"USC00475484","MILWAUKEE, WI US","1949-06-26","0.0","0.0","0.0","31.1","20.6"
"USC00475484","MILWAUKEE, WI US","1949-06-27","0.0","0.0","0.0","25.6","20.6"
"USC00475484","MILWAUKEE, WI US","1949-06-28","7.1","0.0","0.0","28.3","20.0"
"USC00475484","MILWAUKEE, WI US","1949-06-29","0.0","0.0","0.0","28.3","18.3"
"USC00475484","MILWAUKEE, WI US","1949-06-30","0.0","0.0","0.0","26.7","19.4"
"USC00475484","MILWAUKEE, WI US","1949-07-01","0.5","0.0","0.0","33.3","21.1"
"USC00475484","MILWAUKEE, WI US","1949-07-02","0.0","0.0","0.0","28.9","21.7"
"USC00475484","MILWAUKEE, WI US","1949-07-03","0.0","0.0","0.0","35.6","22.2"
"USC00475484","MILWAUKEE, WI US","1949-07-04","0.0","0.0","0.0","31.7","25.0"
"USC00475484","MILWAUKEE, WI US","1949-07-05","0.0","0.0","0.0","28.3","21.1"
"USC00475484","MILWAUKEE, WI US","1949-07-06","5.6","0.0","0.0","25.0","22.2"
"USC00475484","MILWAUKEE, WI US","1949-07-07","0.0","0.0","0.0","22.2","20.6"
"USC00475484","MILWAUKEE, WI US","1949-07-08","0.0","0.0","0.0","25.0","20.0"
"USC00475484","MILWAUKEE, WI US","1949-07-09","14.7","0.0","0.0","31.1","21.1"
"USC00475484","MILWAUKEE, WI US","1949-07-10","20.3","0.0","0.0","21.7","17.2"
"USC00475484","MILWAUKEE, WI US","1949-07-11","0.0","0.0","0.0","23.9","17.2"
"USC00475484","MILWAUKEE, WI US","1949-07-12","0.0","0.0","0.0","25.6","19.4"
"USC00475484","MILWAUKEE, WI US","1949-07-13","0.0","0.0","0.0","26.7","20.0"
"USC00475484","MILWAUKEE, WI US","1949-07-14","14.5","0.0","0.0","20.6","17.8"
"USC00475484","MILWAUKEE, WI US","1949-07-15","0.0","0.0","0.0","26.1","16.7"
"USC00475484","MILWAUKEE, WI US","1949-07-16","0.0","0.0","0.0","26.7","20.0"
