"STATION","NAME","DATE","PRCP","TAVG"
"USC00479050","WEST BEND, WI US","1954-04-01","0.0",
"USC00479050","WEST BEND, WI US","1954-04-02","0.0",
"USC00479050","WEST BEND, WI US","1954-04-03","0.0",
"USC00479050","WEST BEND, WI US","1954-04-04","0.0",
"USC00479050","WEST BEND, WI US","1954-04-05","0.0",
"USC00479050","WEST BEND, WI US","1954-04-06","9.7",
"USC00479050","WEST BEND, WI US","1954-04-07","15.2",
"USC00479050","WEST BEND, WI US","1954-04-08","0.0",
"USC00479050","WEST BEND, WI US","1954-04-09","0.0",
"USC00479050","WEST BEND, WI US","1954-04-10","0.0",
"USC00479050","WEST BEND, WI US","1954-04-11","0.0",
"USC00479050","WEST BEND, WI US","1954-04-12","0.0",
"USC00479050","WEST BEND, WI US","1954-04-13","0.0",
"USC00479050","WEST BEND, WI US","1954-04-14","0.0",
"USC00479050","WEST BEND, WI US","1954-04-15","8.9",
"USC00479050","WEST BEND, WI US","1954-04-16","0.0",
"USC00479050","WEST BEND, WI US","1954-04-17","0.0",
"USC00479050","WEST BEND, WI US","1954-04-18","0.0",
"USC00479050","WEST BEND, WI US","1954-04-19","0.0",
"USC00479050","WEST BEND, WI US","1954-04-20","2.3",
"USC00479050","WEST BEND, WI US","1954-04-21","10.4",
"USC00479050","WEST BEND, WI US","1954-04-22","0.0",
"USC00479050","WEST BEND, WI US","1954-04-23","0.0",
"USC00479050","WEST BEND, WI US","1954-04-24","17.5",
"USC00479050","WEST BEND, WI US","1954-04-25","6.4",
"USC00479050","WEST BEND, WI US","1954-04-26","15.0",
"USC00479050","WEST BEND, WI US","1954-04-27","12.2",
"USC00479050","WEST BEND, WI US","1954-04-28","0.0",
"USC00479050","WEST BEND, WI US","1954-04-29","0.0",
"USC00479050","WEST BEND, WI US","1954-04-30","0.0",
"USC00479050","WEST BEND, WI US","1954-05-01","0.0",
"USC00479050","WEST BEND, WI US","1954-05-02","23.6",
"USC00479050","WEST BEND, WI US","1954-05-03","0.0",
"USC00479050","WEST BEND, WI US","1954-05-04","0.0",
"USC00479050","WEST BEND, WI US","1954-05-05","0.0",
"USC00479050","WEST BEND, WI US","1954-05-06","0.0",
"USC00479050","WEST BEND, WI US","1954-05-07","0.0",
"USC00479050","WEST BEND, WI US","1954-05-08","1.3",
"USC00479050","WEST BEND, WI US","1954-05-09","5.1",
"USC00479050","WEST BEND, WI US","1954-05-10","2.5",
"USC00479050","WEST BEND, WI US","1954-05-11","0.0",
"USC00479050","WEST BEND, WI US","1954-05-12","0.0",
"USC00479050","WEST BEND, WI US","1954-05-13","0.0",
"USC00479050","WEST BEND, WI US","1954-05-14","0.0",
"USC00479050","WEST BEND, WI US","1954-05-15","0.0",
"USC00479050","WEST BEND, WI US","1954-05-16","0.0",
"USC00479050","WEST BEND, WI US","1954-05-17","0.0",
"USC00479050","WEST BEND, WI US","1954-05-18","0.0",
"USC00479050","WEST BEND, WI US","1954-05-19","0.0",
"USC00479050","WEST BEND, WI US","1954-05-20","0.0",
"USC00479050","WEST BEND, WI US","1954-05-21","0.0",
"USC00479050","WEST BEND, WI US","1954-05-22","0.0",
"USC00479050","WEST BEND, WI US","1954-05-23","0.0",
"USC00479050","WEST BEND, WI US","1954-05-24","0.0",
"USC00479050","WEST BEND, WI US","1954-05-25","0.0",
"USC00479050","WEST BEND, WI US","1954-05-26","0.0",
"USC00479050","WEST BEND, WI US","1954-05-27","3.0",
"USC00479050","WEST BEND, WI US","1954-05-28","9.7",
"USC00479050","WEST BEND, WI US","1954-05-29","2.0",
"USC00479050","WEST BEND, WI US","1954-05-30","0.0",
"USC00479050","WEST BEND, WI US","1954-05-31","12.7",
"USC00479050","WEST BEND, WI US","1954-06-01","27.4",
"USC00479050","WEST BEND, WI US","1954-06-02","0.0",
"USC00479050","WEST BEND, WI US","1954-06-03","48.3",
"USC00479050","WEST BEND, WI US","1954-06-04","2.8",
"USC00479050","WEST BEND, WI US","1954-06-05","0.0",
"USC00479050","WEST BEND, WI US","1954-06-06","0.0",
"USC00479050","WEST BEND, WI US","1954-06-07","8.6",
"USC00479050","WEST BEND, WI US","1954-06-08","0.0",
"USC00479050","WEST BEND, WI US","1954-06-09","0.0",
"USC00479050","WEST BEND, WI US","1954-06-10","0.0",
"USC00479050","WEST BEND, WI US","1954-06-11","0.0",
"USC00479050","WEST BEND, WI US","1954-06-12","1.5",
"USC00479050","WEST BEND, WI US","1954-06-13","0.0",
"USC00479050","WEST BEND, WI US","1954-06-14","2.0",
"USC00479050","WEST BEND, WI US","1954-06-15","0.0",
"USC00479050","WEST BEND, WI US","1954-06-16","6.1",
"USC00479050","WEST BEND, WI US","1954-06-17","0.0",
"USC00479050","WEST BEND, WI US","1954-06-18","0.0",
"USC00479050","WEST BEND, WI US","1954-06-19","0.0",
"USC00479050","WEST BEND, WI US","1954-06-20","33.5",
"USC00479050","WEST BEND, WI US","1954-06-21","45.7",
"USC00479050","WEST BEND, WI US","1954-06-22","19.1",
"USC00479050","WEST BEND, WI US","1954-06-23","0.0",
"USC00479050","WEST BEND, WI US","1954-06-24","0.0",
"USC00479050","WEST BEND, WI US","1954-06-25","0.0",
"USC00479050","WEST BEND, WI US","1954-06-26","0.0",
"USC00479050","WEST BEND, WI US","1954-06-27","0.0",
"USC00479050","WEST BEND, WI US","1954-06-28","0.0",
"USC00479050","WEST BEND, WI US","1954-06-29","7.9",
"USC00479050","WEST BEND, WI US","1954-06-30","0.0",
"USC00479050","WEST BEND, WI US","1954-07-01","0.0",
"USC00479050","WEST BEND, WI US","1954-07-02","14.5",
"USC00479050","WEST BEND, WI US","1954-07-03","20.3",
"USC00479050","WEST BEND, WI US","1954-07-04","0.0",
"USC00479050","WEST BEND, WI US","1954-07-05","0.0",
"USC00479050","WEST BEND, WI US","1954-07-06","29.7",
"USC00479050","WEST BEND, WI US","1954-07-07","10.2",
"USC00479050","WEST BEND, WI US","1954-07-08","0.0",
"USC00479050","WEST BEND, WI US","1954-07-09","0.0",
"USC00479050","WEST BEND, WI US","1954-07-10","2.8",
"USC00479050","WEST BEND, WI US","1954-07-11","0.0",
"USC00479050","WEST BEND, WI US","1954-07-12","0.0",
"USC00479050","WEST BEND, WI US","1954-07-13","0.0",
"USC00479050","WEST BEND, WI US","1954-07-14","0.0",
"USC00479050","WEST BEND, WI US","1954-07-15","0.0",
"USC00479050","WEST BEND, WI US","1954-07-16","0.0",
"USC00479050","WEST BEND, WI US","1954-07-17","0.0",
"USC00479050","WEST BEND, WI US","1954-07-18","0.0",
"USC00479050","WEST BEND, WI US","1954-07-19","0.0",
"USC00479050","WEST BEND, WI US","1954-07-20","0.5",
"USC00479050","WEST BEND, WI US","1954-07-21","0.0",
"USC00479050","WEST BEND, WI US","1954-07-22","0.0",
"USC00479050","WEST BEND, WI US","1954-07-23","0.0",
"USC00479050","WEST BEND, WI US","1954-07-24","0.0",
"USC00479050","WEST BEND, WI US","1954-07-25","0.0",
"USC00479050","WEST BEND, WI US","1954-07-26","0.0",
"USC00479050","WEST BEND, WI US","1954-07-27","0.0",
"USC00479050","WEST BEND, WI US","1954-07-28","0.0",
"USC00479050","WEST BEND, WI US","1954-07-29","3.8",
"USC00479050","WEST BEND, WI US","1954-07-30","0.0",
"USC00479050","WEST BEND, WI US","1954-07-31","20.3",
"USC00479050","WEST BEND, WI US","1954-08-01","0.0",
"USC00479050","WEST BEND, WI US","1954-08-02","1.3",
"USC00479050","WEST BEND, WI US","1954-08-03","0.0",
"USC00479050","WEST BEND, WI US","1954-08-04","4.3",
"USC00479050","WEST BEND, WI US","1954-08-05","0.0",
"USC00479050","WEST BEND, WI US","1954-08-06","0.0",
"USC00479050","WEST BEND, WI US","1954-08-07","0.0",
"USC00479050","WEST BEND, WI US","1954-08-08","0.0",
"USC00479050","WEST BEND, WI US","1954-08-09","24.1",
"USC00479050","WEST BEND, WI US","1954-08-10","0.0",
"USC00479050","WEST BEND, WI US","1954-08-11","0.0",
"USC00479050","WEST BEND, WI US","1954-08-12","0.0",
"USC00479050","WEST BEND, WI US","1954-08-13","0.0",
"USC00479050","WEST BEND, WI US","1954-08-14","0.0",
"USC00479050","WEST BEND, WI US","1954-08-15","0.0",
"USC00479050","WEST BEND, WI US","1954-08-16","18.5",
"USC00479050","WEST BEND, WI US","1954-08-17","0.0",
"USC00479050","WEST BEND, WI US","1954-08-18","13.5",
"USC00479050","WEST BEND, WI US","1954-08-19","0.0",
"USC00479050","WEST BEND, WI US","1954-08-20","0.0",
"USC00479050","WEST BEND, WI US","1954-08-21","0.0",
"USC00479050","WEST BEND, WI US","1954-08-22","0.0",
"USC00479050","WEST BEND, WI US","1954-08-23","0.0",
"USC00479050","WEST BEND, WI US","1954-08-24","10.4",
"USC00479050","WEST BEND, WI US","1954-08-25","20.6",
"USC00479050","WEST BEND, WI US","1954-08-26","0.0",
"USC00479050","WEST BEND, WI US","1954-08-27","0.0",
"USC00479050","WEST BEND, WI US","1954-08-28","0.0",
"USC00479050","WEST BEND, WI US","1954-08-29","0.0",
"USC00479050","WEST BEND, WI US","1954-08-30","0.0",
"USC00479050","WEST BEND, WI US","1954-08-31","0.0",
"USC00479050","WEST BEND, WI US","1954-09-01","0.8",
"USC00479050","WEST BEND, WI US","1954-09-02","0.0",
"USC00479050","WEST BEND, WI US","1954-09-03","0.0",
"USC00479050","WEST BEND, WI US","1954-09-04","0.0",
"USC00479050","WEST BEND, WI US","1954-09-05","0.0",
"USC00479050","WEST BEND, WI US","1954-09-06","0.0",
"USC00479050","WEST BEND, WI US","1954-09-07","0.0",
"USC00479050","WEST BEND, WI US","1954-09-08","0.0",
"USC00479050","WEST BEND, WI US","1954-09-09","0.5",
"USC00479050","WEST BEND, WI US","1954-09-10","0.8",
"USC00479050","WEST BEND, WI US","1954-09-11","0.0",
"USC00479050","WEST BEND, WI US","1954-09-12","0.8",
"USC00479050","WEST BEND, WI US","1954-09-13","25.9",
"USC00479050","WEST BEND, WI US","1954-09-14","6.4",
"USC00479050","WEST BEND, WI US","1954-09-15","0.8",
"USC00479050","WEST BEND, WI US","1954-09-16","0.0",
"USC00479050","WEST BEND, WI US","1954-09-17","13.7",
"USC00479050","WEST BEND, WI US","1954-09-18","18.3",
"USC00479050","WEST BEND, WI US","1954-09-19","0.0",
"USC00479050","WEST BEND, WI US","1954-09-20","0.0",
"USC00479050","WEST BEND, WI US","1954-09-21","2.5",
"USC00479050","WEST BEND, WI US","1954-09-22","0.0",
"USC00479050","WEST BEND, WI US","1954-09-23","0.0",
